Date,Discharges
2005-01-01,715593.0
2005-04-01,704780.0
2005-07-01,714624.0
2005-10-01,719340.0
2006-01-01,732873.0
2006-04-01,717374.0
2006-07-01,733572.0
2006-10-01,733369.0
2007-01-01,740288.0
2007-04-01,724901.0
2007-07-01,738151.0
2007-10-01,734430.0
2008-01-01,738795.0
2008-04-01,715623.0
2008-07-01,732680.0
2008-10-01,731455.0
2009-01-01,737678.0
2009-04-01,733240.0
2009-07-01,735252.0
2009-10-01,740985.0
2010-01-01,740573.0
2010-04-01,725658.0
2010-07-01,736262.0
2010-10-01,741885.0
2011-01-01,740817.0
2011-04-01,724552.0
2011-07-01,740270.0
2011-10-01,731940.0
2012-01-01,745203.0
2012-04-01,725194.0
2012-07-01,751939.0
2012-10-01,743625.0
2013-01-01,731187.0
2013-04-01,719370.0
2013-07-01,730714.0
2013-10-01,729582.0
2014-01-01,728958.0
2014-04-01,724278.0
2014-07-01,744613.0
2014-10-01,749342.0
2015-01-01,763656.0
2015-04-01,764036.0
2015-07-01,770203.0
2015-10-01,770199.0
2016-01-01,767347.0
2016-04-01,760654.0
2016-07-01,782382.0
2016-10-01,778595.0
2017-01-01,776554.0
2017-04-01,761921.0
2017-07-01,760904.0
2017-10-01,789700.0
2018-01-01,788843.0
2018-04-01,766327.0
2018-07-01,773941.0
2018-10-01,781185.0
2019-01-01,774564.0
2019-04-01,775301.0
2019-07-01,789509.0
2019-10-01,801901.0
2020-01-01,774322.0
2020-04-01,672387.0
2020-07-01,740900.0
2020-10-01,758295.0
